epoch,loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse
0,153.19395446777344,9.280867576599121,-23.38766860961914,12.319297790527344,98.7013931274414,7.493712425231934,-13.440576553344727,9.863860130310059
1,98.74913024902344,7.621384620666504,-20.66495132446289,9.868277549743652,53.26079559326172,5.409965515136719,-13.890573501586914,7.207155704498291
2,86.96101379394531,7.158472537994385,-19.003137588500977,9.257866859436035,228.0621337890625,13.555697441101074,-72.72013092041016,15.062614440917969
3,80.21684265136719,6.845366954803467,-18.13966178894043,8.895049095153809,60.244686126708984,5.941949844360352,-14.924637794494629,7.696703910827637
4,76.32054901123047,6.710949897766113,-17.56420135498047,8.683342933654785,70.85372924804688,6.682541370391846,-25.8448486328125,8.3676118850708
5,69.76099395751953,6.472287654876709,-18.03089714050293,8.306066513061523,55.27754211425781,5.431613922119141,-11.004507064819336,7.38690185546875
6,66.5852279663086,6.29172420501709,-14.965959548950195,8.118706703186035,47.52425765991211,5.2061567306518555,-14.269143104553223,6.847380638122559
7,63.18153381347656,6.1159210205078125,-16.394811630249023,7.909913539886475,43.768192291259766,4.9583563804626465,-15.119771003723145,6.570118427276611
8,59.8917350769043,5.954136848449707,-13.800981521606445,7.70072603225708,45.15290069580078,5.044210910797119,-13.060977935791016,6.6761884689331055
9,56.29548263549805,5.786502361297607,-14.88708782196045,7.464009761810303,57.59135437011719,5.662803649902344,-11.37788200378418,7.550399303436279
10,44.672725677490234,5.102621555328369,-13.899758338928223,6.640654563903809,44.313026428222656,4.922508239746094,-13.66211986541748,6.614134788513184
11,40.38265609741211,4.8997392654418945,-14.1481294631958,6.310698509216309,50.06505584716797,5.398752689361572,-19.38619613647461,7.036594390869141
12,38.0849609375,4.753688335418701,-12.429819107055664,6.126665115356445,45.95938491821289,5.117840766906738,-16.25166130065918,6.73911190032959
13,35.76337814331055,4.610113620758057,-12.537233352661133,5.935060501098633,57.74544906616211,6.041243553161621,-21.712688446044922,7.563851833343506
14,34.307373046875,4.543893337249756,-12.562263488769531,5.811367511749268,50.22731018066406,5.355358123779297,-17.121614456176758,7.049080848693848
15,32.181251525878906,4.3961639404296875,-12.20853042602539,5.625483512878418,47.739471435546875,5.248712539672852,-19.0710391998291,6.870758056640625
16,30.403162002563477,4.310733795166016,-14.654297828674316,5.463565349578857,49.08150863647461,5.183963298797607,-14.331632614135742,6.966224193572998
17,28.633737564086914,4.150145053863525,-10.57409954071045,5.2993574142456055,49.680782318115234,5.217477798461914,-13.247135162353516,7.009059429168701
18,28.16914939880371,4.14163064956665,-11.298702239990234,5.255344390869141,47.71310043334961,5.1872124671936035,-14.795577049255371,6.867615699768066
19,26.532928466796875,3.9988481998443604,-11.645210266113281,5.0975847244262695,46.950828552246094,5.191417694091797,-17.656293869018555,6.812077045440674
20,22.268028259277344,3.673936367034912,-10.240445137023926,4.660808086395264,45.94780731201172,5.072269439697266,-15.547457695007324,6.738283634185791
21,20.124292373657227,3.498314142227173,-10.133695602416992,4.425143241882324,48.1175651550293,5.145649433135986,-12.686580657958984,6.897514820098877
22,19.707853317260742,3.452437400817871,-9.907280921936035,4.377927303314209,52.50023651123047,5.5626373291015625,-18.57368278503418,7.206699848175049
23,19.02436065673828,3.3633649349212646,-10.335203170776367,4.297310829162598,46.76420211791992,5.125004291534424,-16.43585205078125,6.797821998596191
24,18.750991821289062,3.3615310192108154,-9.678744316101074,4.266098976135254,49.82269287109375,5.36970329284668,-21.859172821044922,7.019485950469971
25,17.71471405029297,3.2776577472686768,-10.065890312194824,4.1432342529296875,45.85921859741211,5.0912628173828125,-16.724323272705078,6.731419563293457
26,17.68522834777832,3.2668616771698,-10.069112777709961,4.139876365661621,45.07896423339844,5.021946907043457,-13.86895751953125,6.673243045806885
27,17.164098739624023,3.2233965396881104,-9.915595054626465,4.07651948928833,45.92383575439453,5.105246067047119,-16.927467346191406,6.736293315887451
