epoch,loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse
0,210.78689575195312,10.723607063293457,-19.178831100463867,14.472442626953125,142.52169799804688,9.709705352783203,-17.89173698425293,11.886374473571777
1,131.62574768066406,8.779654502868652,-23.691539764404297,11.420465469360352,89.0927963256836,6.762930393218994,-8.978240013122559,9.378058433532715
2,106.35552978515625,7.89603853225708,-21.39684295654297,10.260913848876953,58.10102844238281,5.616724014282227,-14.918437004089355,7.557358264923096
3,94.33483123779297,7.4184956550598145,-17.358949661254883,9.66656494140625,56.90755844116211,5.570643901824951,-15.867762565612793,7.490736484527588
4,89.36137390136719,7.25461483001709,-16.668949127197266,9.41551399230957,62.27165603637695,5.633342266082764,-8.626096725463867,7.851418495178223
5,83.12004089355469,6.952410697937012,-18.23513412475586,9.08631706237793,53.31025695800781,5.486454010009766,-10.571249961853027,7.267174243927002
6,81.47742462158203,6.924475193023682,-16.304622650146484,9.001398086547852,47.79759216308594,5.073089122772217,-11.479708671569824,6.883928298950195
7,76.95672607421875,6.735764503479004,-14.356696128845215,8.750571250915527,51.57777786254883,5.297490119934082,-15.140802383422852,7.156494617462158
8,73.82848358154297,6.522331714630127,-14.461321830749512,8.571582794189453,57.98885726928711,5.84798002243042,-16.94267463684082,7.591218948364258
9,73.94316101074219,6.59547233581543,-16.815021514892578,8.578400611877441,48.14146423339844,5.213736057281494,-14.920878410339355,6.913886070251465
10,62.0400390625,5.992428779602051,-13.073485374450684,7.855737686157227,47.587547302246094,5.041703224182129,-10.753437995910645,6.8754706382751465
11,58.47762680053711,5.819895267486572,-13.608240127563477,7.627048969268799,43.7667121887207,4.974564075469971,-14.044271469116211,6.593090534210205
12,56.1722526550293,5.709041595458984,-15.67885684967041,7.474727153778076,43.23316192626953,4.9561944007873535,-14.60546875,6.552806854248047
13,54.233463287353516,5.628627300262451,-12.472713470458984,7.344696044921875,44.794795989990234,5.022373676300049,-14.52091121673584,6.671571254730225
14,52.75136184692383,5.550109386444092,-14.464591026306152,7.243676662445068,43.042152404785156,4.9920454025268555,-13.905515670776367,6.539479732513428
15,49.9567756652832,5.422702789306641,-14.730430603027344,7.048573017120361,44.38817596435547,4.949955463409424,-15.641639709472656,6.642000675201416
16,48.73783493041992,5.351212501525879,-14.505205154418945,6.961956977844238,43.22797393798828,4.883505344390869,-13.293192863464355,6.55441427230835
17,48.38185501098633,5.405185222625732,-13.461888313293457,6.9365129470825195,43.27760314941406,4.874454975128174,-15.131463050842285,6.558255672454834
18,44.65753173828125,5.147365570068359,-14.889785766601562,6.6622138023376465,47.123016357421875,5.1884446144104,-18.45356559753418,6.844130516052246
19,42.43191909790039,5.002445697784424,-12.592879295349121,6.49284029006958,44.112815856933594,5.035486221313477,-17.535737991333008,6.621325492858887
20,36.540225982666016,4.630799293518066,-11.801508903503418,6.022601127624512,43.634307861328125,4.893655300140381,-13.804173469543457,6.585446834564209
21,34.692073822021484,4.5089874267578125,-12.369308471679688,5.867499351501465,47.37268829345703,5.157655715942383,-14.342516899108887,6.863674640655518
22,33.26298141479492,4.43986701965332,-13.126838684082031,5.744715690612793,48.33510208129883,5.166942596435547,-13.159181594848633,6.933600902557373
23,32.4169921875,4.383609771728516,-11.203600883483887,5.670828819274902,44.877342224121094,4.972215175628662,-13.939909934997559,6.679769992828369
24,31.220674514770508,4.300899028778076,-12.999214172363281,5.564367771148682,52.68983459472656,5.370445251464844,-12.852169036865234,7.240928649902344
25,30.184778213500977,4.23061466217041,-12.165148735046387,5.470604419708252,50.4163703918457,5.281931400299072,-15.151876449584961,7.082302093505859
26,28.252445220947266,4.082935810089111,-11.539323806762695,5.291138172149658,46.17562484741211,5.089547157287598,-17.686052322387695,6.7764387130737305
27,27.848066329956055,4.091670513153076,-11.031601905822754,5.252881050109863,45.717411041259766,5.081637859344482,-16.808834075927734,6.7425384521484375
28,26.864320755004883,4.028215408325195,-13.493953704833984,5.158409595489502,46.387657165527344,5.123757839202881,-16.788955688476562,6.7921905517578125
29,25.8919677734375,3.9590466022491455,-12.613936424255371,5.063436031341553,47.808868408203125,5.1672468185424805,-16.713626861572266,6.896061420440674
30,23.56924057006836,3.792353391647339,-10.937288284301758,4.828587055206299,47.552711486816406,5.1335062980651855,-14.02766227722168,6.877373218536377
31,21.785310745239258,3.610062837600708,-15.01891803741455,4.640034198760986,48.262245178222656,5.201143741607666,-13.656624794006348,6.928767681121826
32,20.96574592590332,3.546755075454712,-11.991681098937988,4.5510172843933105,47.2093391418457,5.130585670471191,-16.556541442871094,6.852425575256348
33,20.250967025756836,3.4770243167877197,-10.352714538574219,4.471877098083496,46.64982986450195,5.139060974121094,-15.154594421386719,6.811534404754639
34,19.853445053100586,3.4617981910705566,-10.798534393310547,4.427276134490967,47.5482177734375,5.155774116516113,-14.589778900146484,6.877205848693848
