epoch,loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse
0,149.37721252441406,9.146110534667969,-22.523435592651367,12.221997261047363,215.01361083984375,12.79802131652832,-68.52496337890625,14.663342475891113
1,96.11327362060547,7.589963436126709,-22.453857421875,9.80373764038086,68.5124282836914,6.282899856567383,-14.582974433898926,8.277223587036133
2,84.04936218261719,7.063199520111084,-17.216615676879883,9.16784381866455,87.7115707397461,7.591710567474365,-26.71961784362793,9.365445137023926
3,77.70257568359375,6.813145637512207,-15.738343238830566,8.814906120300293,233.63453674316406,13.519148826599121,-77.6501693725586,15.28510856628418
4,69.80371856689453,6.4018049240112305,-13.69100570678711,8.354862213134766,54.14435958862305,5.615035533905029,-15.623895645141602,7.358284950256348
5,65.49199676513672,6.228184700012207,-15.98530101776123,8.09271240234375,50.30050277709961,5.426121234893799,-14.401344299316406,7.092284679412842
6,62.27328109741211,6.067896366119385,-34.97941207885742,7.8913421630859375,55.549476623535156,5.920166969299316,-17.803878784179688,7.453152179718018
7,59.23247528076172,5.906268119812012,-326.5145568847656,7.696263790130615,48.852664947509766,5.30565071105957,-19.485004425048828,6.989468097686768
8,57.084468841552734,5.796103477478027,-12.70238208770752,7.555426120758057,78.52633666992188,7.290369510650635,-28.646238327026367,8.8615083694458
9,55.568115234375,5.745116710662842,-13.050091743469238,7.454402446746826,44.71507263183594,5.051286220550537,-12.528646469116211,6.6869330406188965
10,46.31673049926758,5.185306549072266,-13.876031875610352,6.805639743804932,58.65003967285156,5.949429035186768,-15.514361381530762,7.658331394195557
11,44.901039123535156,5.160652160644531,-11.84499740600586,6.700823783874512,75.7479248046875,7.1672282218933105,-30.471660614013672,8.703328132629395
12,43.2967414855957,5.0618462562561035,-12.00866413116455,6.580026149749756,44.368534088134766,5.075188636779785,-13.78961181640625,6.660971164703369
13,40.56208038330078,4.934913635253906,-12.44449234008789,6.368836402893066,47.220703125,5.129712104797363,-11.688478469848633,6.871732234954834
14,39.315643310546875,4.840977668762207,-11.19570541381836,6.270218849182129,46.161746978759766,5.064438819885254,-11.271491050720215,6.794243335723877
15,36.80971908569336,4.703603744506836,-13.135988235473633,6.06710147857666,70.16264343261719,6.661251068115234,-27.435110092163086,8.376314163208008
16,36.160640716552734,4.6884870529174805,-13.172110557556152,6.013371467590332,62.902217864990234,6.014767169952393,-27.165794372558594,7.931091785430908
17,35.79207992553711,4.646702766418457,-11.47448444366455,5.9826483726501465,43.74996566772461,4.978999614715576,-12.68907356262207,6.614375591278076
18,32.484840393066406,4.450082302093506,-11.061173439025879,5.699547290802002,49.488548278808594,5.4256486892700195,-17.094993591308594,7.034809589385986
19,31.047239303588867,4.368696689605713,-11.784491539001465,5.572004795074463,45.8907356262207,5.207366943359375,-17.870956420898438,6.774270057678223
20,26.780773162841797,4.06760835647583,-13.459689140319824,5.175014019012451,45.675846099853516,5.080955505371094,-12.300663948059082,6.7583909034729
21,25.718334197998047,3.9997901916503906,-10.148660659790039,5.071324825286865,56.77410888671875,5.931736469268799,-23.578468322753906,7.534859657287598
22,24.301809310913086,3.8999123573303223,-10.7499361038208,4.929686546325684,44.38104248046875,5.106492519378662,-17.049388885498047,6.661910057067871
23,24.368602752685547,3.8909170627593994,-10.987637519836426,4.936456203460693,47.82939910888672,5.336841583251953,-17.437955856323242,6.91588020324707
24,22.693946838378906,3.770487070083618,-11.55258846282959,4.7638163566589355,44.52543640136719,5.069547653198242,-15.710074424743652,6.672738075256348
25,21.344186782836914,3.667999744415283,-10.320304870605469,4.619976997375488,48.0778923034668,5.364238262176514,-18.435579299926758,6.933822154998779
26,20.818077087402344,3.6057159900665283,-13.595967292785645,4.56268310546875,44.18579864501953,5.100059509277344,-16.082521438598633,6.647239685058594
27,20.542926788330078,3.5960540771484375,-11.667515754699707,4.532430648803711,46.22235107421875,5.112960338592529,-13.507269859313965,6.798702239990234
28,19.940305709838867,3.5404906272888184,-10.505720138549805,4.465456962585449,44.89048385620117,5.175700664520264,-16.677614212036133,6.70003604888916
29,19.3730411529541,3.4821035861968994,-13.211331367492676,4.401481628417969,50.98926544189453,5.345291614532471,-12.302159309387207,7.140676975250244
30,17.554407119750977,3.3305349349975586,-9.859174728393555,4.189797878265381,46.45941162109375,5.29952335357666,-16.77275848388672,6.8161139488220215
31,16.998607635498047,3.2666335105895996,-9.732708930969238,4.122936725616455,44.935791015625,5.108310699462891,-14.316652297973633,6.703416347503662
32,16.250444412231445,3.2161366939544678,-10.059713363647461,4.03118371963501,45.12159729003906,5.115017414093018,-13.251836776733398,6.717260837554932
33,16.0136661529541,3.173182249069214,-9.583937644958496,4.001707553863525,46.258487701416016,5.192986011505127,-14.685648918151855,6.801359176635742
34,15.746586799621582,3.144376277923584,-10.055821418762207,3.9681968688964844,45.709686279296875,5.191775321960449,-16.00965118408203,6.760893821716309
35,15.122211456298828,3.0881686210632324,-9.890003204345703,3.8887288570404053,47.36585998535156,5.329246520996094,-16.243715286254883,6.882286071777344
36,15.180427551269531,3.100290536880493,-10.795522689819336,3.896206855773926,48.46197509765625,5.351917266845703,-16.438430786132812,6.961463451385498
37,14.60834789276123,3.0495917797088623,-10.613692283630371,3.822086811065674,45.27175521850586,5.145867347717285,-14.000066757202148,6.728428840637207
