loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse,learning_rate
139.2574920654297,8.708616256713867,-3755.300048828125,11.800741195678711,94.2915267944336,7.1492791175842285,-186291.46875,9.710382461547852,0.0010000000474974513
89.9340591430664,7.130889415740967,-14062.05078125,9.483357429504395,74.66202545166016,6.235616207122803,-66604.53125,8.640719413757324,0.0010000000474974513
70.09832763671875,6.308624744415283,-7793.75244140625,8.37247371673584,62.15074920654297,5.929237365722656,-100971.9921875,7.883574485778809,0.0010000000474974513
62.47785949707031,5.907294273376465,-19519.12109375,7.904293537139893,68.69900512695312,6.4069437980651855,-178582.3125,8.28848648071289,0.0010000000474974513
56.20777130126953,5.602693557739258,-3001.791748046875,7.497183799743652,71.59828186035156,6.518720626831055,-224464.640625,8.461576461791992,0.0010000000474974513
52.78746032714844,5.436511516571045,-217060.0625,7.265498161315918,71.7374496459961,6.8815388679504395,-273023.375,8.469796180725098,0.0010000000474974513
47.858482360839844,5.196399688720703,-7973.63037109375,6.917982578277588,52.63360595703125,5.596520900726318,-46340.30078125,7.254901885986328,0.0010000000474974513
45.50761413574219,5.061844348907471,-1831.7557373046875,6.7459330558776855,50.166866302490234,5.303574085235596,-26191.900390625,7.082857131958008,0.0010000000474974513
42.59137725830078,4.919698715209961,-5521.74560546875,6.526206970214844,48.30176544189453,5.2348103523254395,-6840.59375,6.949946880340576,0.0010000000474974513
39.976829528808594,4.754415035247803,-46755.88671875,6.322723388671875,56.010833740234375,5.469676971435547,-39391.88671875,7.484038352966309,0.0010000000474974513
31.36455535888672,4.198521137237549,-544.3433227539062,5.600406646728516,45.315895080566406,5.003781318664551,-5789.421875,6.73170804977417,0.0005000000237487257
28.174734115600586,4.032130241394043,-909.7852172851562,5.307987689971924,49.88379669189453,5.361846923828125,-66122.75,7.0628461837768555,0.0005000000237487257
25.40985870361328,3.8434371948242188,-6089.611328125,5.04081916809082,48.642417907714844,5.313052654266357,-15723.1865234375,6.974411487579346,0.0005000000237487257
23.237472534179688,3.6850523948669434,-40493.0859375,4.820526123046875,50.62052536010742,5.307152271270752,-3579.404541015625,7.114809989929199,0.0005000000237487257
20.725906372070312,3.510416030883789,-87050.5234375,4.5525712966918945,46.76552200317383,5.0989298820495605,-6987.7119140625,6.838531970977783,0.0005000000237487257
18.178255081176758,3.3118724822998047,-3814.792724609375,4.263596534729004,50.43400955200195,5.42121696472168,-5367.2109375,7.101690769195557,0.0005000000237487257
16.330856323242188,3.126349925994873,-4238.02880859375,4.041145324707031,48.3255729675293,5.247574329376221,-29761.953125,6.951659679412842,0.0005000000237487257
14.74100112915039,3.000530481338501,-47010.13671875,3.8394010066986084,60.05588150024414,5.9729156494140625,-111296.9296875,7.74957275390625,0.0005000000237487257
12.79448413848877,2.806605815887451,-1952.6414794921875,3.576937675476074,51.589317321777344,5.428091526031494,-14717.69140625,7.182570457458496,0.0005000000237487257
11.767857551574707,2.6958131790161133,-6533.44970703125,3.4304311275482178,54.285423278808594,5.517575263977051,-18870.064453125,7.36786413192749,0.0005000000237487257
8.023785591125488,2.2221298217773438,-11381.9365234375,2.8326287269592285,49.65468215942383,5.219976902008057,-28047.13671875,7.046607494354248,0.0002500000118743628
6.782993316650391,2.0384891033172607,-147989.828125,2.6044180393218994,49.81583786010742,5.2748541831970215,-11398.27734375,7.058033466339111,0.0002500000118743628
6.174600124359131,1.9519795179367065,-21097.76171875,2.4848742485046387,56.07851791381836,5.769317626953125,-48748.43359375,7.488558769226074,0.0002500000118743628
5.591088771820068,1.8642406463623047,-4828.8037109375,2.3645482063293457,52.13093185424805,5.485618591308594,-5831.1259765625,7.220175266265869,0.0002500000118743628
5.193788528442383,1.785897135734558,-22284.798828125,2.2789883613586426,50.26881408691406,5.356220722198486,-30921.24609375,7.090050220489502,0.0002500000118743628
4.946342945098877,1.7439792156219482,-525.2608032226562,2.2240374088287354,49.85081100463867,5.324819087982178,-56991.6875,7.060510635375977,0.0002500000118743628
4.631633281707764,1.6799005270004272,-641.9703369140625,2.152122974395752,50.097286224365234,5.355041027069092,-19747.74609375,7.077943801879883,0.0002500000118743628
4.2989277839660645,1.6256742477416992,-3086.0107421875,2.07338547706604,50.901329040527344,5.419780731201172,-47144.8828125,7.134516716003418,0.0002500000118743628
4.1850409507751465,1.603305459022522,-8615.5498046875,2.0457372665405273,49.21332931518555,5.283814907073975,-16485.46484375,7.015221118927002,0.0002500000118743628
3.9790472984313965,1.5510627031326294,-447.88201904296875,1.9947549104690552,50.041072845458984,5.365320205688477,-13927.0654296875,7.073971271514893,0.0002500000118743628
3.0439188480377197,1.356780767440796,-1721.147216796875,1.744683027267456,49.69329071044922,5.343886852264404,-38911.83984375,7.049346446990967,0.0001250000059371814
