epoch,loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse
0,1189.12939453125,29.275110244750977,-174.05160522460938,34.4837532043457,165.55047607421875,10.796577453613281,-13.731002807617188,12.866641998291016
1,341.96820068359375,14.783883094787598,-38.71282958984375,18.492382049560547,156.9249725341797,10.129873275756836,-11.750468254089355,12.526969909667969
2,316.98150634765625,14.100814819335938,-34.13154220581055,17.803974151611328,158.17706298828125,10.247044563293457,-12.071165084838867,12.5768461227417
3,297.9554748535156,13.758905410766602,-29.057451248168945,17.26138687133789,160.17587280273438,10.515498161315918,-13.094532012939453,12.656060218811035
4,257.4485778808594,12.831748962402344,-27.154191970825195,16.045204162597656,136.82827758789062,9.025402069091797,-10.642794609069824,11.697361946105957
5,204.67274475097656,11.410380363464355,-24.412940979003906,14.306387901306152,100.76859283447266,7.645908832550049,-11.15912914276123,10.038355827331543
6,159.01771545410156,10.052788734436035,-21.869401931762695,12.610222816467285,93.255126953125,7.174122333526611,-10.012385368347168,9.656868934631348
7,126.98623657226562,8.838725090026855,-18.391921997070312,11.268816947937012,100.37608337402344,8.091198921203613,-16.184595108032227,10.018786430358887
8,105.6938247680664,7.969662666320801,-16.304807662963867,10.280750274658203,82.9090576171875,6.660922050476074,-10.240320205688477,9.105441093444824
9,96.10098266601562,7.471282958984375,-15.395088195800781,9.803110122680664,79.92369842529297,6.484947204589844,-11.304580688476562,8.9400053024292
10,82.87593841552734,6.944328308105469,-15.154086112976074,9.103622436523438,70.62554931640625,6.397438049316406,-11.859173774719238,8.403901100158691
11,78.96143341064453,6.723208904266357,-14.465368270874023,8.886024475097656,70.3272933959961,6.177269458770752,-11.266168594360352,8.386137008666992
12,73.8396987915039,6.4641547203063965,-14.403617858886719,8.593002319335938,66.7537612915039,6.119505882263184,-12.626913070678711,8.170297622680664
13,70.6514892578125,6.283116817474365,-14.19327163696289,8.405444145202637,77.99987030029297,6.382650375366211,-11.104842185974121,8.831753730773926
14,69.06208038330078,6.209830284118652,-14.074189186096191,8.310359954833984,73.77325439453125,6.293617248535156,-10.698220252990723,8.589136123657227
15,67.28955078125,6.112812042236328,-14.173008918762207,8.203020095825195,67.00873565673828,6.009216785430908,-12.162015914916992,8.18588638305664
16,64.96155548095703,6.030566692352295,-14.013313293457031,8.0598726272583,65.56430053710938,5.9541802406311035,-12.195230484008789,8.09717845916748
17,61.52003479003906,5.862483024597168,-14.340174674987793,7.843470573425293,63.704246520996094,5.927169322967529,-13.458588600158691,7.981493949890137
18,60.98019790649414,5.845677852630615,-13.775920867919922,7.808981895446777,65.18707275390625,6.040011405944824,-14.461777687072754,8.073850631713867
19,59.14356994628906,5.737492561340332,-13.994271278381348,7.69048547744751,64.39630126953125,5.873512268066406,-12.622201919555664,8.024730682373047
20,53.35881042480469,5.50076150894165,-14.066266059875488,7.30471134185791,63.769737243652344,5.839997291564941,-12.511380195617676,7.985595703125
21,51.62727355957031,5.404762268066406,-13.936782836914062,7.185212135314941,64.64820098876953,5.908895969390869,-12.80053424835205,8.040410041809082
22,51.058536529541016,5.368497371673584,-14.312978744506836,7.1455254554748535,67.48101806640625,5.957602500915527,-12.114096641540527,8.214682579040527
23,48.229618072509766,5.199726104736328,-14.117027282714844,6.944754600524902,69.66563415527344,6.049614429473877,-12.148104667663574,8.346593856811523
