epoch,loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse
0,243.4608917236328,11.154717445373535,-29.822410583496094,15.567432403564453,151.66275024414062,9.012327194213867,-16.38751220703125,12.271848678588867
1,170.28619384765625,9.934524536132812,-20.710792541503906,13.008905410766602,128.68817138671875,9.304980278015137,-23.39876937866211,11.296411514282227
2,134.4964141845703,8.88723087310791,-24.06462860107422,11.54874038696289,113.580322265625,7.376051902770996,-20.765522003173828,10.602960586547852
3,114.87702941894531,8.151479721069336,-25.28353500366211,10.662088394165039,110.86851501464844,8.660197257995605,-27.828815460205078,10.470412254333496
4,104.86662292480469,7.812878608703613,-26.079885482788086,10.178010940551758,80.80880737304688,6.429312705993652,-21.948896408081055,8.916544914245605
5,98.97721099853516,7.577991962432861,-27.330718994140625,9.88164234161377,92.82919311523438,7.021526336669922,-26.81513023376465,9.564177513122559
6,91.76103210449219,7.318282127380371,-27.309349060058594,9.506539344787598,74.91642761230469,6.72268533706665,-23.537757873535156,8.573928833007812
7,86.58463287353516,7.135290145874023,-27.70327377319336,9.228589057922363,73.73567199707031,6.320312976837158,-28.5931453704834,8.502882957458496
8,82.9584732055664,7.000744342803955,-27.777782440185547,9.027929306030273,80.27961730957031,6.4445648193359375,-24.917200088500977,8.877266883850098
9,76.11640930175781,6.6898064613342285,-28.08676528930664,8.638538360595703,72.92131805419922,6.669332981109619,-26.24856948852539,8.451114654541016
10,65.87987518310547,6.199118137359619,-28.421676635742188,8.02418327331543,61.95271682739258,5.869110584259033,-27.874164581298828,7.775666236877441
11,61.31380844116211,6.0268330574035645,-29.168909072875977,7.7346882820129395,60.81336212158203,5.785477638244629,-26.154293060302734,7.7022833824157715
12,59.22692108154297,5.907120704650879,-29.093660354614258,7.598495006561279,62.73260498046875,5.9251604080200195,-27.123851776123047,7.8255696296691895
13,54.95259094238281,5.684237003326416,-29.65683937072754,7.311402797698975,66.3499984741211,6.011476039886475,-26.989002227783203,8.053101539611816
14,51.31993865966797,5.493859767913818,-29.855878829956055,7.058265686035156,61.511627197265625,5.829108715057373,-27.714656829833984,7.746236324310303
15,49.18465805053711,5.408355236053467,-30.00453758239746,6.904757499694824,64.0147705078125,5.946856498718262,-27.890151977539062,7.905659198760986
16,45.894046783447266,5.214632034301758,-30.124313354492188,6.661599636077881,69.82889556884766,6.338487148284912,-28.962451934814453,8.264918327331543
17,42.50534439086914,5.0559868812561035,-30.132015228271484,6.401947021484375,68.71998596191406,6.335292339324951,-27.466928482055664,8.19739818572998
18,39.91798400878906,4.870553493499756,-30.93603515625,6.196413040161133,71.24385833740234,6.320400714874268,-29.837825775146484,8.349658012390137
19,37.834693908691406,4.709155559539795,-30.759538650512695,6.025518894195557,70.6153793334961,6.368527412414551,-32.07722854614258,8.312024116516113
20,32.00397491455078,4.339294910430908,-31.3160400390625,5.521198749542236,72.46427917480469,6.534076690673828,-29.7160701751709,8.42306900024414
21,28.90484046936035,4.1418232917785645,-31.033279418945312,5.233667373657227,70.4322509765625,6.273431777954102,-29.65928077697754,8.301886558532715
22,27.59030532836914,4.017430305480957,-31.51137924194336,5.107212543487549,70.70848083496094,6.348639965057373,-29.54947280883789,8.319056510925293
23,27.25135612487793,4.029848098754883,-31.421403884887695,5.07468318939209,73.6161117553711,6.3821516036987305,-29.83200454711914,8.492358207702637
24,26.37372589111328,3.951631546020508,-31.55448341369629,4.988157272338867,72.84661102294922,6.404843807220459,-31.656564712524414,8.447317123413086
25,24.863569259643555,3.815610647201538,-31.52465057373047,4.835036277770996,74.723876953125,6.4702253341674805,-29.214427947998047,8.558144569396973
26,24.22078514099121,3.7666869163513184,-31.734519958496094,4.768798828125,75.63085174560547,6.473450660705566,-28.921615600585938,8.611257553100586
27,23.434593200683594,3.702556610107422,-31.587932586669922,4.686252117156982,72.99552917480469,6.38718843460083,-30.899608612060547,8.457213401794434
28,23.086650848388672,3.667297840118408,-31.729602813720703,4.649720191955566,73.37565612792969,6.407314300537109,-29.143268585205078,8.4801607131958
29,22.419523239135742,3.6346242427825928,-32.01919937133789,4.578061103820801,77.63998413085938,6.64114236831665,-29.304309844970703,8.728179931640625
30,20.545211791992188,3.4511516094207764,-31.84691619873047,4.369277477264404,76.4095458984375,6.579665184020996,-30.421472549438477,8.657822608947754
31,19.47832679748535,3.358894109725952,-32.05708694458008,4.246049404144287,75.6639175415039,6.524481773376465,-30.11838722229004,8.614950180053711
