loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse,learning_rate
166.15213012695312,9.514070510864258,-439216.375,12.89000129699707,145.1316375732422,10.125651359558105,-515429.65625,12.047059059143066,0.0010000000474974513
101.13800048828125,7.514350414276123,-730042.4375,10.05673885345459,145.80194091796875,9.99111557006836,-437871.34375,12.074847221374512,0.0010000000474974513
78.7355728149414,6.597244739532471,-182660.125,8.873306274414062,61.155311584472656,6.023753643035889,-164179.3125,7.820186138153076,0.0010000000474974513
70.55188751220703,6.231531143188477,-149843.8125,8.399517059326172,75.08937072753906,6.418008327484131,-240680.5625,8.665411949157715,0.0010000000474974513
65.39261627197266,6.011777877807617,-56073.36328125,8.086569786071777,53.75074768066406,5.460272312164307,-200110.796875,7.3314900398254395,0.0010000000474974513
58.57740020751953,5.693680286407471,-245654.078125,7.653587341308594,53.913352966308594,5.385312557220459,-40867.828125,7.342571258544922,0.0010000000474974513
55.265445709228516,5.518759250640869,-895792.9375,7.434072971343994,81.00519561767578,6.948784351348877,-429825.59375,9.000288009643555,0.0010000000474974513
52.5140380859375,5.41295051574707,-72495.84375,7.246656894683838,48.281524658203125,5.188987731933594,-4148.27294921875,6.948490619659424,0.0010000000474974513
47.5418586730957,5.1469292640686035,-129342.4609375,6.8950605392456055,52.52231979370117,5.486428737640381,-71670.1875,7.247228145599365,0.0010000000474974513
45.413814544677734,5.029476165771484,-304557.71875,6.738977432250977,52.253318786621094,5.3205108642578125,-936.90380859375,7.2286458015441895,0.0010000000474974513
36.32734680175781,4.553310871124268,-463815.5,6.027217388153076,46.7368278503418,5.138205051422119,-38666.22265625,6.8364338874816895,0.0005000000237487257
31.84710693359375,4.282283782958984,-31626.240234375,5.64332389831543,56.5412712097168,5.756019592285156,-99066.1796875,7.519392967224121,0.0005000000237487257
29.228492736816406,4.145340442657471,-6460.818359375,5.406338214874268,44.964778900146484,4.939292907714844,-1322.1300048828125,6.705578327178955,0.0005000000237487257
26.393024444580078,3.9552035331726074,-228885.21875,5.13741397857666,47.301143646240234,5.070721626281738,-19871.357421875,6.877582550048828,0.0005000000237487257
24.554161071777344,3.853536367416382,-105104.6953125,4.9552154541015625,51.686885833740234,5.350141525268555,-8415.1298828125,7.189359188079834,0.0005000000237487257
22.4100284576416,3.6582512855529785,-101957.0546875,4.733922958374023,44.7392578125,5.059828281402588,-29223.541015625,6.688741207122803,0.0005000000237487257
20.62761688232422,3.5431323051452637,-81980.921875,4.541763782501221,47.54595184326172,5.092737197875977,-19736.2421875,6.895357131958008,0.0005000000237487257
18.953493118286133,3.3698062896728516,-36231.796875,4.353560924530029,46.60319137573242,5.0474677085876465,-50723.3828125,6.826653003692627,0.0005000000237487257
18.014741897583008,3.306548595428467,-25963.76171875,4.244377613067627,49.8607063293457,5.186957836151123,-4085.47412109375,7.061211109161377,0.0005000000237487257
16.92456817626953,3.227869987487793,-11906.6142578125,4.113947868347168,47.13088607788086,5.076667308807373,-15728.4794921875,6.865193843841553,0.0005000000237487257
13.10633659362793,2.8250415325164795,-346528.21875,3.620267391204834,48.377174377441406,5.219923496246338,-36566.43359375,6.95536994934082,0.0002500000118743628
11.707620620727539,2.6523311138153076,-2907.33740234375,3.421639919281006,49.46172332763672,5.219578266143799,-6351.09716796875,7.032902717590332,0.0002500000118743628
10.45763874053955,2.5113344192504883,-3983.072265625,3.2338273525238037,49.78200149536133,5.208442687988281,-28664.755859375,7.055635929107666,0.0002500000118743628
9.8268461227417,2.442322015762329,-1551.638427734375,3.134780168533325,47.904903411865234,5.085097789764404,-3465.095703125,6.921336650848389,0.0002500000118743628
9.33937931060791,2.4062654972076416,-52942.02734375,3.056039810180664,50.062965393066406,5.292911052703857,-2635.49609375,7.075518608093262,0.0002500000118743628
8.45745849609375,2.284963369369507,-24055.912109375,2.9081709384918213,50.344173431396484,5.277627944946289,-15391.2451171875,7.095362663269043,0.0002500000118743628
8.058876991271973,2.2301008701324463,-99668.6171875,2.8388161659240723,53.07259750366211,5.4819793701171875,-2269.78369140625,7.285094261169434,0.0002500000118743628
7.43874454498291,2.152784585952759,-2458.41455078125,2.7274060249328613,49.13990783691406,5.215322494506836,-18113.69921875,7.009986400604248,0.0002500000118743628
7.110101222991943,2.1052896976470947,-4819.31103515625,2.6664772033691406,50.531768798828125,5.284977912902832,-5070.193359375,7.108570098876953,0.0002500000118743628
6.688112258911133,2.047498941421509,-9507.9228515625,2.5861384868621826,50.369361877441406,5.291641712188721,-10395.4921875,7.097137451171875,0.0002500000118743628
5.620992660522461,1.8667080402374268,-1221.9088134765625,2.370863199234009,49.34711456298828,5.246087551116943,-13963.9072265625,7.024750232696533,0.0001250000059371814
5.0627360343933105,1.7789204120635986,-20544.28515625,2.2500524520874023,49.47209548950195,5.2669901847839355,-12314.44140625,7.033640384674072,0.0001250000059371814
4.710143089294434,1.7044709920883179,-69151.984375,2.1702864170074463,49.57233428955078,5.244867324829102,-9417.064453125,7.040762424468994,0.0001250000059371814
4.538349628448486,1.6888676881790161,-99083.578125,2.130340337753296,50.01933670043945,5.290351867675781,-7499.078125,7.072434902191162,0.0001250000059371814
4.339437484741211,1.6379640102386475,-16348.1025390625,2.0831315517425537,50.013553619384766,5.34122371673584,-45518.54296875,7.072026252746582,0.0001250000059371814
4.356937885284424,1.650568962097168,-4630.48388671875,2.0873279571533203,48.359432220458984,5.204887866973877,-18164.072265625,6.954094409942627,0.0001250000059371814
