model_name,rmse_diff,mae_diff,r2_diff,loss_diff
CNN_RNN Scratch(GRU)-B1,1.1814144084810545,0.7557800346374508,-0.13266594114303587,22.17963409423828
CNN_RNN Scratch(GRU)-L1,-0.17673756253841333,-0.22205612640380856,1.2748393981933595,-2.8959503173828125
CNN_RNN Scratch(LSTM)-B1,1.5259029068887662,1.0365027580261232,-0.15278214101791376,9.412384033203125
CNN_RNN Scratch(LSTM)-L1,0.14747717422285866,0.1383393714904786,-0.03543036756515505,-13.547958374023438
CNN_RNN Scratch(LSTM)-Mixed1,0.6445865403302378,0.5194065734863287,-0.10365193109512327,69.02354431152344
CNN_RNN T(O)-a,3.188060402996304,2.182155753326416,-0.3878788425445557,41.29682922363279
CNN_RNN T(O)-b(5),1.2591119681564091,0.7958426345825194,-0.17092792301177978,7.132713317871094
CNN_RNN T(O)-b(7),4.433227670363598,3.053355289459229,-0.5035741464614868,51.89569854736328
CNN_RNN-1,0.8469687169565248,0.5735297920227049,-0.12752268466949462,0.24442291259765625
Fusion DI-B1,0.9442907684878277,0.713579592132568,-0.11452284183502193,-3.0078353881835938
Fusion DI-B2,1.237557634691143,0.9361790344238283,-0.12882136135101319,-16.319072723388672
Fusion DI-L1,2.495047449453211,1.9567908210754394,-0.21853513278961179,1.4272041320800781
Fusion DI-L2,1.7163076225585385,1.3297521919250492,-0.16998841638565065,-16.671398162841797
Fusion DIT-1,3.78459233153869,2.7007046058654787,-0.43814242649078367,79.39279747009279
Fusion DIT-2,1.9901348796000757,1.5167028388977055,-0.29587207803726195,59.167884826660156
Fusion NC-B1,5.649718941252901,4.227519598770142,-0.3989342451095581,39.087751388549805
Fusion NC-B2,0.9863936438882055,0.7735366073608398,-0.10962366819381719,-21.676410675048828
Fusion NC-L1,1.5839102443655522,1.1874414230346684,-0.16291204738616938,-0.5004463195800781
Fusion NC-L2,1.4342528941441257,1.01395471496582,-0.14726614131927496,-2.7797203063964773
Fusion SI-B1,1.2631491173439766,1.0294934715270996,-0.11438343954086305,-19.413341522216797
Fusion SI-B2,1.3222857072208605,1.063050328826904,-0.12008012132644652,-17.526760101318352
Fusion SI-L1,1.2532091841785293,1.0400345153808592,-0.12225622987747198,-14.337184906005866
Fusion SI-L2,1.5465191588942924,1.2258641891479494,-0.137881728553772,-9.709209442138665
Fusion(S)-L1,1.7984619081077202,1.1395755744934082,-0.21203829421997072,-8.264328002929688
Fusion-B1,1.8022064404452784,1.3912534088134763,-0.24692553348541257,-39.20027160644531
Fusion-L1,2.439783004970259,1.7463911781311037,-0.2675389623641968,-2.0786590576171875
I3D Mini-B1,1.9692890208961682,1.4319853137969973,-0.16603201065063478,4.572574615478516
I3D Mini-B2,2.3462787787110546,1.6080134704589844,-0.18039439582824712,-15.910343170166016
I3D Mini-B3,2.2768284290709806,1.5440464351654049,-0.1826231094360351,7.9578857421875
I3D Mini-B4,3.7582825544717284,2.8523716289520262,-0.25980156736373905,20.42215728759766
I3D Mini-L1,1.9760029506857144,1.4312214897155764,-0.18418953952789308,6.090526580810547
I3D Mini-L2,2.1979580402065553,1.525677344512939,-0.1797928601264953,1.6428909301757812
I3D OG-B1,2.8124184063195106,1.9489160449981693,-0.2190528442382812,22.3292293548584
I3D OG-B2,6.036989685528633,4.419929766368866,-0.3135768517494202,39.7413649559021
I3D OG-L1,-0.17638614384830476,-0.2217402038574221,2.0496997802734374,-12.969696044921875
I3D OG-L2,-0.17690189512650178,-0.22233635864257728,6.913438793945312,-12.824966430664062
I3D Single-class A-2,3.431200014655764,2.644977842330933,-0.3130379179000854,26.667510986328118
I3D Single-class A-3,2.5278977472697823,1.8129225543975833,-0.20509546709060666,15.251045227050781
I3D Single-class A-3 (A),1.1335969262961445,0.9166085060119631,-0.10584899559021,-4.53935241699218
I3D Single-class A-3 (B),2.0458095892824604,1.4317925258636475,-0.173919473361969,13.951339721679688
I3D Single-class A-3 (C),1.3337106892711645,0.9288006965637203,-0.12742841205596922,-30.31031036376953
I3D Single-class A-4,4.148268118055309,3.1178071861267087,-0.3010128018379211,36.211875915527344
I3D Single-class A-5,2.8124184063195106,1.9489160449981693,-0.2190528442382812,22.3292293548584
Two-Stream-B1,1.59279413695808,1.5021293601989747,-0.20157684354782107,-13.839584350585938
Two-Stream-L1,7.197166064781596,5.353201738548279,-0.5064747707366943,60.14028549194336
